date,State0,State1,State2,Comp#,AverageState,S0Percent,S1Percent,S2Percent
2010-04-12,838,1150,761,2749,0.971989814477992,0.30483812295380136,0.41833393961440524,0.2768279374317934
2010-04-13,827,1154,765,2746,0.9774217042971595,0.30116533139111434,0.4202476329206118,0.27858703568827387
2010-04-14,801,1167,776,2744,0.9908892128279884,0.29190962099125367,0.42529154518950435,0.282798833819242
2010-04-15,789,1178,777,2744,0.9956268221574344,0.28753644314868804,0.4293002915451895,0.28316326530612246
2010-04-16,741,1201,804,2746,1.0229424617625638,0.26984705025491623,0.4373634377276038,0.29278951201748
2010-04-19,743,1186,818,2747,1.0273025118310886,0.27047688387331636,0.4317437204222789,0.2977793957044048
2010-04-20,740,1183,816,2739,1.027747353048558,0.2701715954728003,0.4319094560058416,0.29791894852135814
2010-04-21,732,1175,831,2738,1.0361577794010226,0.2673484295105917,0.42914536157779404,0.30350620891161434
2010-04-22,705,1181,854,2740,1.0543795620437957,0.2572992700729927,0.431021897810219,0.3116788321167883
2010-04-23,697,1190,860,2747,1.0593374590462323,0.2537313432835821,0.4331998543866036,0.3130688023298143
2010-04-26,695,1178,869,2742,1.0634573304157549,0.25346462436177974,0.42961342086068566,0.31692195477753465
2010-04-27,663,1176,898,2737,1.0858604311289732,0.2422360248447205,0.4296675191815857,0.3280964559736938
2010-04-28,662,1173,904,2739,1.0883534136546185,0.2416940489229646,0.42825848849945236,0.33004746257758305
2010-04-29,674,1151,915,2740,1.087956204379562,0.245985401459854,0.42007299270072995,0.33394160583941607
2010-04-30,659,1137,940,2736,1.1027046783625731,0.2408625730994152,0.4155701754385965,0.3435672514619883
2010-05-03,650,1125,959,2734,1.1130212143379663,0.2377468910021946,0.41148500365764445,0.35076810534016095
2010-05-04,630,1088,1020,2738,1.1424397370343315,0.23009495982468955,0.3973703433162893,0.3725346968590212
2010-05-05,608,1029,1104,2741,1.18095585552718,0.2218168551623495,0.37541043414812114,0.40277271068952936
2010-05-06,600,888,1253,2741,1.2382342210871944,0.21889821233126597,0.3239693542502736,0.45713243341846044
2010-05-07,598,919,1225,2742,1.2286652078774618,0.21808898614150254,0.33515681983953316,0.44675419401896427
2010-05-10,605,1030,1107,2742,1.1830780452224654,0.22064186725018234,0.37563822027717,0.4037199124726477
2010-05-11,605,1069,1066,2740,1.1682481751824818,0.2208029197080292,0.39014598540145984,0.38905109489051093
2010-05-12,606,1116,1012,2734,1.1485003657644477,0.22165325530358448,0.40819312362838334,0.3701536210680322
2010-05-13,618,1120,1004,2742,1.1407731582786287,0.22538293216630198,0.4084609773887673,0.3661560904449307
2010-05-14,622,1117,995,2734,1.13643013899049,0.22750548646671542,0.408558888076079,0.36393562545720554
2010-05-17,612,1127,994,2733,1.1397731430662277,0.2239297475301866,0.4123673618733992,0.3637028905964142
2010-05-18,614,1128,993,2735,1.1385740402193785,0.22449725776965265,0.4124314442413163,0.3630712979890311
2010-05-19,607,1136,990,2733,1.1401390413465056,0.2221002561287962,0.41566044639590194,0.36223929747530187
2010-05-20,606,1144,986,2736,1.1388888888888888,0.22149122807017543,0.41812865497076024,0.3603801169590643
2010-05-21,608,1142,984,2734,1.1375274323335771,0.22238478419897587,0.4177029992684711,0.359912216532553
2010-05-24,605,1164,961,2730,1.1304029304029304,0.2216117216117216,0.42637362637362636,0.35201465201465204
2010-05-25,611,1167,953,2731,1.1252288538996704,0.2237275723178323,0.427316001464665,0.3489564262175027
2010-05-26,607,1175,949,2731,1.1252288538996704,0.22226290735994142,0.43024533138044674,0.34749176125961184
2010-05-27,608,1175,949,2732,1.1248169838945827,0.2225475841874085,0.43008784773060027,0.34736456808199123
2010-05-28,612,1185,935,2732,1.1182284040995607,0.2240117130307467,0.4337481698389458,0.34224011713030744
2010-06-01,615,1187,928,2730,1.1146520146520147,0.22527472527472528,0.4347985347985348,0.33992673992673994
2010-06-02,621,1184,923,2728,1.1107038123167154,0.22763929618768328,0.4340175953079179,0.3383431085043988
2010-06-03,615,1191,920,2726,1.1118855465884079,0.2256052824651504,0.43690388848129125,0.3374908290535583
2010-06-04,614,1197,919,2730,1.1117216117216118,0.22490842490842491,0.43846153846153846,0.33663003663003666
2010-06-07,614,1191,924,2729,1.1135947233418835,0.22499083913521437,0.4364235983876878,0.3385855624770978
2010-06-08,614,1189,926,2729,1.1143275925247342,0.22499083913521437,0.4356907292048369,0.3393184316599487
2010-06-09,618,1177,930,2725,1.1144954128440367,0.22678899082568807,0.43192660550458717,0.3412844036697248
2010-06-10,644,1166,918,2728,1.1004398826979471,0.23607038123167157,0.4274193548387097,0.33651026392961875
2010-06-11,651,1159,914,2724,1.0965491923641704,0.23898678414096916,0.4254772393538913,0.3355359765051395
2010-06-14,649,1162,912,2723,1.096584649283878,0.23834006610356226,0.4267352185089974,0.33492471538744034
2010-06-15,663,1166,898,2727,1.0861752841950862,0.24312431243124313,0.4275760909424276,0.3292995966263293
2010-06-16,662,1165,899,2726,1.086940572267058,0.24284666177549524,0.4273661041819516,0.32978723404255317
2010-06-17,656,1163,903,2722,1.0907421013960323,0.24099926524614254,0.4272593681116826,0.33174136664217485
2010-06-18,656,1156,916,2728,1.095307917888563,0.2404692082111437,0.4237536656891496,0.3357771260997067
2010-06-21,623,1171,933,2727,1.1136780344701136,0.22845617895122847,0.4294096076274294,0.34213421342134215
2010-06-22,612,1171,942,2725,1.1211009174311926,0.22458715596330275,0.4297247706422018,0.3456880733944954
2010-06-23,613,1165,946,2724,1.1222466960352422,0.2250367107195301,0.4276798825256975,0.3472834067547724
2010-06-24,617,1166,943,2726,1.119589141599413,0.22633895818048422,0.4277329420396185,0.3459280997798973
2010-06-25,618,1158,953,2729,1.1227555881275193,0.22645657750091608,0.4243312568706486,0.3492121656284353
2010-06-28,617,1160,947,2724,1.1211453744493391,0.22650513950073423,0.42584434654919234,0.3476505139500734
2010-06-29,610,1162,954,2726,1.1261922230374175,0.22377109317681584,0.42626559060895086,0.3499633162142333
2010-06-30,618,1156,954,2728,1.1231671554252198,0.22653958944281524,0.4237536656891496,0.3497067448680352
